北京	北京市
东城	东城区
西城	西城区
崇文	崇文区
宣武	宣武区
丰台	丰台区
石景山	石景山区
海淀	海淀区
门头沟	门头沟区
房山	房山区
顺义	顺义区
昌平	昌平区
大兴	大兴区
怀柔	怀柔区
平谷	平谷区
密云	密云县
延庆	延庆县
天津	天津市
河东	河东区
河西	河西区
南开	南开区
红桥	红桥区
塘沽	塘沽区
汉沽	汉沽区
大港	大港区
东丽	东丽区
西青	西青区
津南	津南区
北辰	北辰区
武清	武清区
宝坻	宝坻区
宁河	宁河县
静海	静海县
河北	河北省
石家庄	石家庄市
唐山	唐山市
秦皇岛	秦皇岛市
邯郸	邯郸市
邢台	邢台市
保定	保定市
张家口	张家口市
承德	承德市
廊坊	廊坊市
衡水	衡水市
山西	山西省
太原	太原市
阳泉	阳泉市
长治	长治市
晋城	晋城市
朔州	朔州市
晋中	晋中市
运城	运城市
忻州	忻州市
临汾	临汾市
吕梁	吕梁市
内蒙古	内蒙古自治区
呼和浩特	呼和浩特市
包头	包头市
乌海	乌海市
赤峰	赤峰市
通辽	通辽市
鄂尔多斯	鄂尔多斯市
呼伦贝尔	呼伦贝尔市
巴彦淖尔	巴彦淖尔市
乌兰察布	乌兰察布市
辽宁	辽宁省
沈阳	沈阳市
大连	大连市
抚顺	抚顺市
本溪	本溪市
丹东	丹东市
锦州	锦州市
营口	营口市
阜新	阜新市
辽阳	辽阳市
盘锦	盘锦市
葫芦岛	葫芦岛市
吉林	吉林省
长春	长春市
四平	四平市
辽源	辽源市
通化	通化市
白山	白山市
松原	松原市
白城	白城市
延边	延边朝鲜族自治州
黑龙江	黑龙江省
哈尔滨	哈尔滨市
齐齐哈尔	齐齐哈尔市
鸡西	鸡西市
鹤岗	鹤岗市
南山	南山区
双鸭山	双鸭山市
宝山	宝山区
大庆	大庆市
伊春	伊春市
佳木斯	佳木斯市
七台河	七台河市
牡丹江	牡丹江市
黑河	黑河市
绥化	绥化市
上海	上海市
黄浦	黄浦区
卢湾	卢湾区
徐汇	徐汇区
静安	静安区
普陀	普陀区
闸北	闸北区
虹口	虹口区
杨浦	杨浦区
闵行	闵行区
嘉定	嘉定区
浦东新	浦东新区
松江	松江区
青浦	青浦区
南汇	南汇区
奉贤	奉贤区
崇明	崇明县
江苏	江苏省
南京	南京市
无锡	无锡市
徐州	徐州市
常州	常州市
苏州	苏州市
南通	南通市
连云港	连云港市
淮安	淮安市
盐城	盐城市
扬州	扬州市
镇江	镇江市
泰州	泰州市
宿迁	宿迁市
浙江	浙江省
杭州	杭州市
上城	上城区
下城	下城区
江干	江干区
拱墅	拱墅区
西湖	西湖区
滨江	滨江区
萧山	萧山区
余杭	余杭区
桐庐	桐庐县
淳安	淳安县
宁波	宁波市
温州	温州市
嘉兴	嘉兴市
湖州	湖州市
绍兴	绍兴市
金华	金华市
衢州	衢州市
舟山	舟山市
台州	台州市
丽水	丽水市
安徽	安徽省
合肥	合肥市
芜湖	芜湖市
蚌埠	蚌埠市
淮南	淮南市
马鞍山	马鞍山市
鞍山	鞍山市
淮北	淮北市
安庆	安庆市
滁州	滁州市
阜阳	阜阳市
宿州	宿州市
巢湖	巢湖市
六安	六安市
亳州	亳州市
池州	池州市
宣城	宣城市
福建	福建省
福州	福州市
厦门	厦门市
莆田	莆田市
三明	三明市
泉州	泉州市
漳州	漳州市
南平	南平市
龙岩	龙岩市
宁德	宁德市
江西	江西省
南昌	南昌市
景德镇	景德镇市
萍乡	萍乡市
新余	新余市
鹰潭	鹰潭市
赣州	赣州市
吉安	吉安市
宜春	宜春市
抚州	抚州市
山东	山东省
济南	济南市
青岛	青岛市
淄博	淄博市
枣庄	枣庄市
烟台	烟台市
潍坊	潍坊市
济宁	济宁市
泰安	泰安市
威海	威海市
日照	日照市
